"","Name","Mrp","Price","Powerusage","Rating"
"1","Voltas 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White","₹62,990","₹32,990","Annual Power Usage: 975.26 kWh","4.218,866 Ratings & 1,689 Reviews"
"2","Voltas 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White","₹75,990","₹39,490","Annual Power Usage: 751.28 kWh","4.218,866 Ratings & 1,689 Reviews"
"3","LG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter wit...","₹78,990","₹35,990","Annual Power Usage: 852.44 kWh","4.227,277 Ratings & 2,809 Reviews"
"4","LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split AI Dual Inverter 2 Way Swing, HD Filt...","₹68,990","₹35,990","Annual Power Usage: 968.04 kWh","4.210,002 Ratings & 1,148 Reviews"
"5","Daikin 2023 Model 0.8 Ton 3 Star Split AC with PM 2.5 Filter  - White","₹37,400","₹25,999","Annual Power Usage: 548.84 kWh","4.11,654 Ratings & 172 Reviews"
"6","Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White","₹58,400","₹37,999","Annual Power Usage: 966.47 kWh","4.23,188 Ratings & 312 Reviews"
"7","LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filt...","₹75,990","₹44,490","Annual Power Usage: 685.26 kWh","4.227,277 Ratings & 2,809 Reviews"
"8","Voltas 2023 Model 1.2 Ton 3 Star Split Inverter AC  - White","₹60,490","₹30,990","Annual Power Usage: 783.99 kWh","4.218,866 Ratings & 1,689 Reviews"
"9","Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 3 Star Split Inverter ...","₹55,400","₹36,490","Annual Power Usage: 1002.72 kWh","4.318,312 Ratings & 2,189 Reviews"
"10","Blue Star 2023 Model 1 Ton 3 Star Split Inverter AC  - White","₹51,500","₹31,990","Annual Power Usage: 704.42 kWh","4.211,488 Ratings & 1,290 Reviews"
"11","LG Super Convertible 6-in-1 Cooling 1 Ton 5 Star Split Dual Inverter AI, 4 Way Swing, HD Filter with A...","₹61,990","₹31,490","Annual Power Usage: 571.99 kWh","4.227,277 Ratings & 2,809 Reviews"
"12","Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White","₹67,200","₹45,490","Annual Power Usage: 785.67 kWh","4.23,188 Ratings & 312 Reviews"
"13","Daikin 2023 Model 1 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White","₹48,200","₹32,999","Annual Power Usage: 680.4 kWh","4.23,188 Ratings & 312 Reviews"
"14","Haier Frost Self-Clean 2023 Model 1.5 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super ...","₹64,491","₹32,990","Annual Power Usage: 925.24 kWh","42,140 Ratings & 275 Reviews"
"15","Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 6th Sense Technology AC ...","₹62,300","₹32,790","Annual Power Usage: 1015.5 kWh","45,466 Ratings & 482 Reviews"
"16","Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...","₹73,000","₹43,990","Annual Power Usage: 770.98 kWh","4.211,488 Ratings & 1,290 Reviews"
"17","SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - Whi...","₹50,990","₹32,990","Annual Power Usage: 624.48 kWh","41,928 Ratings & 182 Reviews"
"18","Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...","₹42,900","₹29,490","Annual Power Usage: 694.03 kWh","4.11,507 Ratings & 155 Reviews"
"19","realme TechLife 2023 Range 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible with Flexi-Control Technol...","₹59,999","₹32,990","Annual Power Usage: 770.08 kWh","4.12,723 Ratings & 385 Reviews"
"20","Panasonic 2 Ton 3 Star Hot and Cold Split Inverter AC with Wi-fi Connect  - White","₹76,900","₹47,292","Annual Power Usage: 1170.01 kWh","4.1526 Ratings & 69 Reviews"
"21","Voltas 2023 Model 1.5 Ton 3 Star Split AC  - White","₹67,990","₹35,999","Annual Power Usage: 997.82 kWh","4.12,761 Ratings & 231 Reviews"
"22","SAMSUNG windfree 1 Ton 3 Star Split Inverter AC  - White","₹50,990","₹29,490","Annual Power Usage: 624.48 kWh","4.11,535 Ratings & 150 Reviews"
"23","Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...","₹41,500","₹29,990","Annual Power Usage: 521.6 kWh","4.211,488 Ratings & 1,290 Reviews"
"24","Voltas 2023 Model 2 Ton 3 Star Split Inverter AC  - White","₹79,990","₹44,999","Annual Power Usage: 1220.59 kWh","4.218,866 Ratings & 1,689 Reviews"
